2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,cityName
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,83,139,139,250,376,469,524,550,646,896,900,1085,1198,1660,2011,2368,2485,3488,3778,4295,5050,5865,6075,6657,7281,7839,8001,8962,9255,10337,10885,11415,12229,13020,13242,13426,13863,14498,15147,15706,16280,16823,17166,17478,17821,18108,18396,18850,19136,19526,20008,21374,22110,23352,23782,Lombardia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,6,10,17,25,27,30,31,38,43,51,54,68,88,134,152,177,239,329,349,423,558,721,792,960,1075,1141,1227,1477,1566,1663,1852,2040,2201,2397,2597,2890,3103,3381,3659,3862,4007,4269,4624,4980,5346,5635,5985,6266,6701,7146,7609,8158,Emilia Romagna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,9,17,22,25,29,30,47,54,55,100,107,120,130,136,167,200,223,257,309,327,381,439,508,536,655,715,747,828,902,1001,1031,1124,1186,1204,1265,1503,1728,1981,2188,2492,2603,2790,2999,3209,3730,4189,4638,4954,5173,5566,5750,6306,Veneto
