2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,cityName,cityName-en,distance-Wuhan,distance-Xiaogan,distance-Huanggang,distance-Suizhou,distance-Jingzhou
,,,1,1,2,5,7,7,7,7,7,7,8,9,9,9,9,9,9,10,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,宜宾,Yibin,942.743952193365,925.266089478566,996.147895145885,871.408362256292,743.288843601312
1,1,20,31,51,63,117,167,276,353,392,452,496,563,610,610,633,711,749,772,784,810,877,906,901,895,904,907,891,914,914,917,924,926,927,929,931,931,931,宜昌,Yichang,289.311268922047,282.877845016483,343.666479320847,228.02895152289,99.1547004520888
,1,5,6,10,14,14,26,29,31,36,45,48,54,62,62,67,74,77,83,88,95,101,102,104,106,106,106,106,106,106,106,106,106,106,106,106,106,106,宜春,Yichun,300.449768976123,457.850715234376,295.377334975677,443.851356378169,348.57478857078
,,,,3,4,4,4,6,7,8,10,10,10,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,宝鸡,Baoji,797.458773453273,686.955269177334,847.119565186537,652.27379473872,656.430269333081
,,1,1,2,2,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,宣城,Xuancheng,449.901867472267,455.752469727707,404.159265964264,507.109863412583,644.065435988384
,,2,3,3,9,10,10,12,14,21,23,24,25,27,27,28,28,31,33,36,38,39,39,39,40,41,41,41,41,41,41,41,41,41,41,41,41,41,宿州,Suzhou,426.577004122512,343.708121235487,405.523401748048,397.941344315809,577.260921240055
,,,,,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,宿松,Susong,179.7521679769,288.82629853199,125.40158406108,315.132169921985,374.7691839583
,1,1,1,3,4,4,7,8,8,9,10,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,宿迁,Suqian,535.550440588024,468.681070750145,506.824867361019,523.412270998139,698.665256012956
3,5,6,7,17,26,29,37,45,53,70,83,89,93,107,107,111,115,124,134,146,148,149,153,154,154,155,155,156,156,156,156,156,156,156,156,156,156,156,岳阳,Yueyang,173.55572106462,293.422066155193,208.851162509639,261.763876665639,134.543076628584
,,1,1,1,1,2,2,2,2,3,5,5,5,5,5,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,峨眉山,Emeishan,1057.98474679355,1041.08558140251,1111.23980368998,987.288418744093,858.382538803099
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,巩义,Gongyi,479.036580497975,319.209003701616,503.082196515078,332.676462931878,490.504357892986
,,,,,2,4,5,8,8,12,12,15,19,20,20,21,21,22,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,巴中,Bazhong,737.428091267537,679.177845068294,791.779050213004,629.852592927904,552.388757630053
,,,,,1,2,2,3,3,3,3,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,巴彦淖尔,Bayannaoer,1295.88867034869,1140.77808847615,1328.65006745095,1137.40077935944,1237.06809925279
,,,,,,,,,,,,,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,巴音郭楞蒙古自治州,Bayinguolengmengguzizhizhou,2809.74111319251,2693.21486137716,2859.23992476417,2662.60274120809,2658.70367306576
,5,5,6,8,8,10,13,14,15,15,19,24,27,29,29,31,31,31,31,36,38,43,43,46,49,50,51,51,51,51,51,51,51,51,51,51,51,51,常州,Changzhou,555.820902798871,571.742641691802,507.105000270033,622.489776110767,753.039284065173
,3,7,12,19,26,30,37,39,42,45,50,56,62,64,64,66,66,72,73,75,77,78,78,79,79,79,79,79,80,80,82,82,82,82,82,82,82,82,常德,Changde,301.200905610802,382.942063247999,344.017011097606,337.37983716153,151.872751930418
,,,,,1,1,1,1,1,1,1,1,1,1,1,4,4,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,平凉,Pingliang,901.988038400401,779.198945817835,949.284717647809,750.309298488217,774.507798462927
,1,2,5,5,5,8,10,11,14,19,28,34,41,46,46,48,50,52,54,55,56,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,平顶山,Pingdingshan,370.86993382493,211.086789973839,396.168727768311,225.51970513618,391.658099225474
,,,,,1,3,2,2,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,广元,Guangyuan,834.138370444018,764.976786535648,888.166539642425,718.055912733198,653.912132870205
2,2,2,6,7,7,9,13,16,20,21,24,24,24,27,27,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,广安,Guangan,739.061536984382,713.64540637344,793.110973662962,660.131704278003,541.361155304382
7,14,14,39,51,63,79,106,137,175,189,216,237,255,284,285,301,307,314,317,323,327,328,335,338,339,339,339,339,339,343,345,345,346,346,346,346,346,346,广州,Guangzhou,822.519887194345,973.037557649593,822.911880517543,948.425035274688,800.767945666421
,,,,,,,,,,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,庆阳,Qingyang,855.307571116989,719.688375741454,898.832827537348,698.075444804644,751.285280751768
,,,2,6,9,9,9,11,11,12,12,13,14,15,15,20,22,24,26,28,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,廊坊,Langfang,1022.9856716279,881.149865903785,1022.13191549376,917.294090868263,1098.24267952717
1,,,2,2,3,3,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,延安,Yanan,810.110533461922,660.669703105024,847.263241376445,650.408696843582,741.25142223088
,,,,,,2,2,2,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,延边朝鲜族自治州,Yanbianchaoxianzuzizhizhou,1924.06776839334,1834.4700826524,1896.51401825325,1885.54941640959,2071.64932869451
,,,1,2,3,4,6,8,11,11,12,17,18,20,20,21,24,24,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,开封,Kaifeng,473.551683281682,320.936709480596,484.865619304646,352.522866487326,532.443969503498
,,,,,1,6,6,8,9,9,9,10,12,13,13,14,14,17,21,21,25,31,33,34,34,34,34,34,34,34,34,34,34,35,40,41,41,41,张家口,Zhangjiakou,1143.94133981418,991.332964627256,1151.69379197155,1018.81074015751,1187.56545009227
,,,,,,1,1,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,张家界,Zhangjiajie,401.024654175162,451.926849755506,448.639616877838,400.134893266583,216.611948525754
,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,张掖,Zhangye,1571.6404053194,1445.61963919703,1618.62985953345,1419.04520632127,1438.79135504686
,,,3,8,8,15,20,23,30,36,39,45,45,49,49,52,56,60,63,66,71,76,77,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,徐州,Xuzhou,495.874257575856,402.061512915789,476.980872837379,454.910046113529,638.385536219642
,,,2,2,2,2,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,德宏傣族景颇族自治州,Dehongdaizujingpozuzizhizhou,1691.22070646229,1715.01227766773,1739.13825545683,1660.01016651149,1498.34096780885
,1,3,6,8,11,11,16,17,19,19,19,19,26,27,27,29,30,32,32,33,35,35,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,德州,Dezhou,790.104296646173,651.014737538651,788.533284932702,689.575291622953,873.522323963367
1,1,1,1,1,2,3,7,7,10,10,12,12,12,12,12,13,16,16,16,16,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,德阳,Deyang,953.120741224269,910.004476326679,1007.56386316159,858.830855951778,758.895699338105
,,,,,,,,1,3,3,3,3,3,3,3,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,忻州,Xinzhou,892.772538225153,733.611874627115,911.211318099587,750.453450100643,902.792607711306
3,5,8,11,16,18,23,26,28,31,32,35,35,36,38,38,38,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,怀化,Huaihua,539.329565597803,620.106030932126,578.382473263767,571.606107768822,383.532974407055
,11,17,25,38,51,66,75,87,105,111,123,138,144,157,157,160,171,187,195,203,229,237,244,247,249,250,249,244,250,251,251,251,251,251,251,251,252,252,恩施土家族苗族自治州,Enshitujiazumiaozuzizhizhou,463.680052122147,458.727465480793,517.245353646995,403.744752990597,264.549403461001
5,7,8,8,11,12,17,17,20,23,28,29,31,35,39,39,47,48,52,53,54,55,56,58,58,58,59,62,62,62,62,62,62,62,62,62,62,62,62,惠州,Huizhou,823.302868100735,979.669743180859,815.722808909032,961.358252446283,830.650072628787
7,16,22,33,37,46,59,69,72,73,77,87,92,97,102,102,109,120,123,124,125,131,135,139,140,140,140,141,141,143,143,143,143,143,143,143,143,143,143,成都,Chengdu,982.831167439096,947.646490720864,1037.0775759433,895.511206178596,786.155830028779
1,1,1,4,5,8,8,8,13,13,14,15,15,15,17,17,17,18,18,18,18,20,20,21,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,扬州,Yangzhou,528.017010978891,522.326152559436,483.599550138831,575.232247586185,719.846202702765
,1,1,1,1,1,2,2,2,2,2,3,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,承德,Chengde,1204.50973347719,1066.63107392595,1200.48931098347,1104.5175235741,1286.98577088425
1,4,6,7,8,9,13,15,18,24,29,34,44,46,56,56,59,63,64,67,68,69,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,抚州,Fuzhou,341.955840735824,493.757290808115,305.884439357841,501.616077142673,475.108604000714
,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,拉萨,Lasa,2229.86272155028,2185.40229565011,2284.16785962773,2135.35089278102,2033.285780874
,,3,3,4,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,揭阳,Jieyang,798.338680983126,958.127779989946,777.416664943996,951.274844633424,854.914107111205
,,,,,,,1,7,9,10,10,11,11,11,11,12,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,攀枝花,Panzhihua,1305.61407366972,1322.66957547843,1354.95760927816,1267.65810866133,1110.1177235941
,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,文山壮族苗族自治州,Wenshanzhuangzumiaozuzizhizhou,1273.88645967477,1342.6411261534,1312.82587848767,1290.60288325852,1106.4875477533
,,,,,,,,,,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,文昌,Wenchang,1261.41646011118,1400.58944002606,1270.36937075397,1367.52486853046,1197.64168378303
,1,3,4,6,7,11,15,21,21,27,33,39,41,41,41,43,44,46,48,53,54,55,55,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,新乡,Xinxiang,532.963982411172,376.045011097027,548.45453379263,400.808570238328,572.145877244411
1,1,1,3,3,11,11,28,40,43,50,59,69,78,87,87,95,100,105,110,117,121,124,127,129,129,129,129,130,130,130,130,130,130,130,130,130,130,130,新余,Xinyu,306.176470762103,465.919737387056,291.544364570095,458.071748742289,382.300659711453
1,1,2,4,6,9,10,12,13,19,23,25,26,28,31,31,34,38,41,45,48,49,51,52,53,55,55,55,55,55,55,55,55,55,55,55,55,55,55,无锡,Wuxi,582.900646306365,605.482104906726,532.958368500496,655.492548500295,781.279910424068
1,2,4,5,6,7,8,9,10,11,12,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,日照,Rizhao,725.769756996271,644.496440600241,699.308238811123,697.862857709516,879.643114038731
2,3,4,7,12,15,21,24,30,31,32,34,34,37,40,41,41,42,45,46,46,48,48,48,51,51,52,53,53,53,53,53,53,53,53,53,53,53,53,昆明,Kunming,1291.75881114451,1332.79784376444,1337.053236933,1278.36697479858,1105.80568021068
,,,,,,,,,,,1,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,昌吉回族自治州,Changjihuizuzizhizhou,2805.36537999432,2678.50055080777,2852.41798628883,2652.72898970615,2668.19990875832
,,,,,,,1,1,1,3,3,3,3,4,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,昌江黎族自治,Changjianglizuzizhi,1360.62983697361,1489.744009922,1375.82566785664,1451.84580221855,1273.09765871544
,,,1,2,2,4,4,6,6,8,9,10,10,10,10,10,12,12,14,14,14,19,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,昭通,Zhaotong,1032.73975967612,1020.00910175671,1085.70842233469,965.904077340221,832.990761304067
,,2,2,5,9,9,9,11,13,15,19,21,26,27,27,30,32,32,33,34,35,35,35,35,36,36,36,36,36,36,36,36,37,37,37,37,37,37,晋中,Jinzhong,808.767109560257,649.371348989691,828.208374938269,665.484910502551,817.763919029459
,,,,,,,,2,3,6,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,晋城,Jincheng,571.482230366161,411.649601166278,594.74352681438,424.784569875361,577.921530908135
,,,,,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,普洱,Puer,1555.36192787288,1604.48214814627,1598.59966073519,1550.4352986244,1374.30270469797
,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,景德镇,Jingdezhen,311.858901433746,430.192826555101,259.827148604628,455.749483414275,494.580851067175
,,1,1,2,5,5,5,5,5,6,8,10,10,10,10,11,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,曲靖,Qujing,1173.36078074883,1216.49496323104,1218.45627092221,1162.23320493619,988.292023369259
,,,2,2,2,3,3,3,3,3,3,4,4,4,4,4,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,朔州,Shuozhou,992.351424394068,833.106963064062,1010.87327622181,849.336599149985,999.245182938446
1,2,2,2,2,2,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,朝阳,Zhaoyang,1344.11822686443,1218.56386773593,1332.73034873866,1261.47696222908,1448.09899822428
,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,本溪,Benxi,1465.49768104958,1360.16792483941,1444.61152005755,1408.63364777441,1596.571826934
,,,,,,,,,,,,,1,2,2,3,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,来宾,Laibin,901.734236657662,1014.22571332753,926.767596707631,971.464495785622,786.707919806783
,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,杨凌,Yangling,722.698490986509,607.668617957458,771.368078638098,574.666086548822,590.557791540818
6,12,27,27,32,51,69,85,69,110,118,132,141,151,156,156,162,165,155,157,159,162,165,166,166,168,168,169,169,169,169,169,169,169,169,169,169,169,169,杭州,Hangzhou,565.7780053419,626.712353890821,511.837955809265,670.165551344621,764.483523369357
1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,松原,Songyuan,1864.42155995657,1745.4919138153,1848.85308065142,1790.06295194953,1977.48256198798
,,,,2,8,8,9,11,14,15,16,17,17,19,19,20,21,21,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,枣庄,Zaozhuang,570.095126369818,471.397346182572,551.690089520226,523.174170713525,708.468059839516
2,3,4,6,6,6,10,11,12,12,14,15,17,20,20,20,20,20,22,22,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,柳州,Liuzhou,840.087246016431,950.42118878163,866.370973075222,907.220087534461,722.06396171512
1,1,3,5,7,13,18,19,22,25,26,34,38,41,46,46,48,58,61,68,71,75,77,78,78,78,78,78,78,78,79,80,80,80,80,80,80,80,80,株洲,Zhuzhou,318.443882697286,459.127113250496,333.717891240801,431.485942720907,291.424363595996
2,6,11,14,15,16,18,18,21,23,24,24,26,27,28,28,29,29,30,30,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,桂林,Guilin,702.213968147267,815.911785568897,727.857632154714,774.19566790441,591.256853876185
,,,1,3,4,5,5,5,6,7,9,10,12,12,12,13,13,13,13,13,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,梅州,Meizhou,684.735319925191,844.511554871291,663.88511667147,838.013758206687,745.552303315773
,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,梅河口,Meihekou,1677.29610930356,1574.43703701651,1655.02734330496,1623.25242965523,1811.08450347528
1,1,2,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,梧州,Wuzhou,830.665156730171,965.701347131966,843.898941284103,931.490759199661,761.241523350303
,,,,,,,,,,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,楚雄彝族自治州,Chuxiongyizuzizhizhou,1395.70602496237,1428.89986433166,1442.32190030198,1374.11146588785,1206.16930245124
,,,,,,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,榆林,Yulin,958.324023998009,801.915280422123,989.651297095577,800.918536972354,912.517498948623
495,572,618,698,1590,1905,2261,2639,3215,4109,5142,6384,8351,10117,11618,11618,13603,14982,16902,18454,19558,32994,35991,37914,39462,41152,42752,44412,45027,45346,45660,46201,46607,47071,47441,47824,48137,48557,49122,武汉,Wuhan,0,159.83289681782,54.4968338157273,159.741874640255,199.768553513138
,,,,,,1,1,3,4,4,8,11,13,13,17,21,21,21,21,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,毕节,Bijie,947.989201560647,977.714920442994,996.020589290401,922.952558660355,755.995827265675
,,,,,,,4,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,永城,Yongcheng,426.0329463353,321.103275317778,413.070515097793,372.98492121576,558.213717763606
4,4,4,4,7,11,14,16,18,22,26,26,30,32,38,38,40,40,41,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,永州,Yongzhou,544.10504536099,669.586706737233,565.312697522219,632.730160785468,459.707631505488
,,,3,4,6,6,11,13,15,15,16,19,20,21,21,21,21,21,21,21,21,21,21,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,汉中,Hanzhong,657.501437306238,566.134818753096,709.565867196896,524.189110635136,500.710944411539
,1,2,2,5,6,12,12,14,14,17,18,20,20,22,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,汕头,Shantou,824.539515582552,984.120407600306,801.760895798835,978.873338322768,886.965306690604
,,,1,1,1,1,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,汕尾,Shanwei,864.211663548935,1023.19884719053,850.329138773281,1009.94773365483,893.066082110693
,,,,,,1,1,3,3,4,6,7,9,11,14,15,19,20,20,21,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,江门,Jiangmen,885.190888989206,1035.04733970965,886.049436124649,1009.7131357861,859.504410490798
1,1,1,1,1,1,2,4,4,6,6,10,11,11,11,11,11,12,15,15,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,池州,Chizhou,305.808381444386,368.749739335699,252.990555048182,409.36136583582,505.52208256059
2,3,5,6,7,8,9,10,13,16,13,15,18,23,24,25,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,沈阳,Shenyang,1492.18857179751,1382.0234858789,1473.26452303026,1429.33503581104,1617.43648132445
1,2,2,2,5,8,12,18,19,19,19,20,20,21,23,23,28,28,28,32,37,42,45,46,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,沧州,Cangzhou,896.688741507508,759.196220235239,893.536605057955,798.121292944729,982.125778511091
1,3,3,3,3,3,5,6,6,6,6,8,9,11,11,11,15,19,21,21,21,21,21,22,22,22,22,23,23,24,25,25,27,28,28,28,28,28,28,河池,Hechi,892.135581600024,984.162934235199,925.21072082155,936.434470588163,748.3379230609
,,,,,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,河源,Heyuan,753.266388851057,910.752047515591,743.743928447567,894.399148496008,770.486177058899
1,1,3,5,10,13,18,22,24,29,31,35,37,39,40,40,40,42,42,43,43,44,44,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,泉州,Quanzhou,748.83335494506,899.419450169582,711.731418080321,908.516998614022,865.509544407575
,,,,1,3,3,3,5,9,11,12,14,18,20,20,20,24,31,32,32,32,32,32,32,32,32,32,33,34,35,35,35,35,35,35,35,35,35,泰安,Taian,680.329022775792,558.188634094147,670.447339111538,604.172483184725,792.219663926012
,,1,2,4,8,9,12,17,17,21,23,26,28,29,29,30,30,31,34,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,泰州,Taizhou,574.098724360891,568.199337682077,529.239907367845,621.284065198044,766.280621370691
,1,2,3,4,5,5,5,5,6,7,9,10,12,13,13,13,16,17,18,19,19,19,19,19,19,19,20,24,24,24,24,24,24,24,24,24,24,24,泸州,Luzhou,881.098605311357,883.661269990039,932.890214603592,828.785489589345,681.958001429035
1,1,1,2,2,2,2,3,5,7,7,12,17,21,24,24,25,25,27,28,29,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,洛阳,Luoyang,495.638808505861,337.340408210155,524.590724504189,342.137080028184,484.686025521511
,2,3,7,10,11,14,16,18,19,22,25,29,33,39,41,42,43,44,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,济南,Jinan,724.220770437776,596.765125193298,716.562002844561,640.739861256981,828.247816283309
,2,4,5,5,5,8,8,10,14,18,21,23,32,35,35,38,39,39,41,42,43,46,49,51,52,52,52,52,253,253,257,257,258,258,258,258,258,260,济宁,Jining,579.569778185603,457.203698102347,570.968551616776,503.801099533172,691.902477330305
,,,,,,,,,,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,济源,Jiyuan,531.291268717272,371.935300738631,557.836665128466,380.421688370318,527.382438518154
,,,,,,,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,海北藏族自治州,Haibeizangzuzizhizhou,1432.87546382575,1320.06094135356,1482.72808943235,1287.32351952582,1283.50517419705
3,3,3,6,7,9,9,9,11,11,13,14,16,16,19,21,24,23,28,29,29,29,30,33,33,34,34,34,39,39,39,39,39,39,39,39,39,39,39,海口,Haikou,1229.36500572122,1365.46329801452,1240.51816496364,1330.87243396975,1158.14075066596
,,1,2,2,4,6,8,10,12,12,12,14,14,15,15,15,16,17,20,20,23,28,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,淄博,Zibo,775.997590972027,659.922897144285,762.48324793653,707.174012714292,895.267568302622
,,1,1,2,2,2,2,6,6,8,11,14,17,22,22,22,23,23,24,24,25,25,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,淮北,Huaibei,447.29407162849,350.987978725581,430.458943065462,403.859942279746,587.374078994189
,,1,2,2,2,6,6,6,6,7,8,12,12,14,14,21,22,23,24,24,23,23,23,24,25,27,27,27,27,27,27,27,27,27,27,27,27,27,淮南,Huainan,344.157779997957,299.462261050192,313.960719439664,354.01567291415,516.680180773847
,,1,2,2,3,7,10,12,13,18,22,26,34,37,37,40,44,46,46,47,51,56,60,63,65,66,66,66,66,66,66,66,66,66,66,66,66,66,淮安,Huaian,564.07110278906,521.522201541474,527.91833941787,576.47312877915,741.524942499226
15,20,27,36,49,63,86,110,170,196,226,269,289,314,334,339,354,366,369,375,386,391,400,406,414,415,416,416,416,416,417,417,417,417,417,417,417,417,417,深圳,Shenzhen,875.628724398706,1030.64697551511,870.085127030614,1010.42363379181,873.702333633786
1,2,3,3,5,6,6,6,6,6,6,8,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,清远,Qingyuan,766.589582148658,915.212624616716,769.234657479063,889.249640242415,738.856066461108
1,10,18,32,60,114,172,227,172,265,291,340,364,396,421,421,438,448,464,474,481,490,496,499,502,503,504,504,504,504,504,504,504,504,504,504,504,504,504,温州,Wenzhou,675.920085298211,781.42339321076,623.058561028707,813.569545178184,857.2106175718
,,,1,3,3,4,5,5,5,6,6,9,9,9,9,9,13,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,渭南,Weinan,633.077709387085,502.062496110846,677.651176030974,477.062451218807,531.097612427868
,,1,3,3,5,5,6,5,6,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,湖州,Huzhou,555.966461233705,600.274256431611,503.412713112044,646.826309226364,755.734861059723
1,2,3,4,6,8,9,10,13,16,19,21,23,24,25,25,28,28,31,32,32,32,34,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,湘潭,Xiangtan,323.737300758099,459.210265282607,342.774049599493,428.937366569918,280.587016578971
,,3,3,3,3,4,5,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,湘西土家族苗族自治州,Xiangxitujiazumiaozuzizhizhou,505.658954055966,566.013607645075,550.187191736071,514.621321265879,329.598270277563
2,2,4,5,5,7,9,11,13,14,14,15,18,19,19,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,湛江,Zhanjiang,1099.42237249657,1232.78536946002,1112.69590763679,1197.12954340194,1022.80563695903
1,2,2,2,4,4,4,4,6,6,8,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,滁州,Chuzhou,429.966587801596,417.655894860626,388.521614798222,470.665933643944,618.400325181269
